_id,service_name,program_or_facility,neighborhood,address,latitude,longitude,organization,category,recommended_for,requirements,phone,narrative,schedule,holiday_exception
135,"Pleasant Valley Shelter Clinic - Mon, Wed, Fri STD/Hepatitis C/HIV/AIDS Testing",Pleasant Valley Shelter Clinic,North Side,"1601 Brighton Rd, PA, 15212",40.458082,-80.016207,Primary Health Care Services,health,General medical care for those experiencing homelessness or lack of stable housing,None:  just walk in! (MD on Wed afternoon only),412-244-4775,"Provides stop gap medical (not a replacement for a primary care physician, not an emergency room).    For prescriptions or physical exams, MD available on Wed afternoons; RN on Mon, Wed, Fri.  A social worker can arrange documentation for Medicaid and fast-track SOAR disability status.  Clinic can provide for basic dental care and eyeglasses (one pair per year) at outside location.  STD/HepC/HIV screening and free flu shots.  Also provides physicals for drug and alcohol programs.",Mon:  9:30am - Noon  (MD:  1pm - 3pm); Wed:  9:30am - Noon; Fri:     9:30am - Noon,
136,Metro Community Health Center - Transgender primary care,Metro Community Health Center- Integrated Care Services,Swissvale,"1789 South Braddock Avenue Suite 410, PA, 15218",40.424434,-79.887187,Metro Community Health,health|activities,"Transgender Issues, with six family practice providers.",None,412-247-2310,"Primary care and integrated behavioral health family practice clinic, with specialty in transgender issues - to anyone who walks through their doors. Will assist with getting insurance/Medicaid where possible.","Mon, Thurs, Fri:  8am - 4:30pm; Tues, Wed:  8am - 7:30pm",
137,Re:Solve Crisis Network,re:solve Crisis Network,North Point Breeze,"333 N Braddock Ave, PA, 15208",40.449527,-79.893775,UPMC WPIC,health,anyone experiencing a mental health crisis,none; walk-ins welcome; mobile trained counselors can come to you,1-888-796-8226,RE:SOLVE CRISIS NETWORK has mental health professionals 24/7 to help.  Same day confidential assessment. Temporary stay-overs possible based on diagnosis.,Available 24/7,
138,Free Health Care Center - Catholic Charities,Catholic Charities,Downtown,"212 Ninth St, PA, 15222",40.443251,-79.998221,Catholic Charities,health,all 19 or older needing primary care (no emergency care),"not a walk-in Clinic, service by appointment to low-income eligible; does not treat children under 19",412-456-6910,"The Center offers both primary care physician level services as well as specialty care services (when specialists are available), including foot care (podiatry), mental health care, gynecology (women's health) and eye care (and glasses).  Routine dental services available (cleanings, exams and x-rays, fillings and extractions).  Specialty dental care also offered when specialists are available (oral surgery, root canals and selective restorative care).  GO TO THE WELCOME CENTER to fill out eligibility form or go to <a href=\http://www.freecarepgh.org\"" target=\""_blank\"">freecarepgh.org website</a>  and click on \""Information about eligibility\"" at bottom of first paragraph.""",Welcome Center:; Mon - Fri:  9am - 4pm,
139,"Birmingham Free Clinic - Mon, Wed, Sat",Birmingham Free Clinic,South Side,"44 South 9th St, PA, 15203",40.429219,-79.990153,Birmingham Free Clinic - UPMC,health,all in need,"none, for patients without health insurance; first-come, first-served; no appointments",412-481-7900,"Free walk-in clinic for both primary and acute care.  On-site pharmacy for medications (with no narcotics).  Services include physicals, chronic disease management, flu vaccines and health education.  On-site specialties include cardiology (heart), dermatology (skin), vision, endocrinology (hormones and glands), and pulmonary problems (lung).  Spanish translators available during all clinic hours.","Sign-In Hours:; Mon:  at 5pm; Wed: at 1pm; Sat: at 9am; Appointments available Tues 12:30pm - 3:30pm, and Wed 8:30am - 11am (dial extension 281)",
140,Birmingham Free Children's Clinic (hispanohablantes),Birmingham Free Clinic,South Side,"44 South 9th St, PA, 15203",40.429219,-79.990153,Birmingham Free Clinic - UPMC,health,all children,"none, for patients without health insurance; first-come, first-served; no appointments",412-692-6000,Free pediatric (Dr. for children) clinic every second Saturday of the month.  Spanish speakers available (hablantes de español disponibles).,Second Saturday of the Month:; 9am sign-in,
141,Central Outreach Wellness Center - STD/Hepatitis C/HIV/AIDS/HCV Testing (Transgender),Central Outreach Wellness Center,North Side,"127 Anderson St, STE 101, PA, 15212",40.448813,-80.00102,Central Outreach Wellness Center,health,all with STD/HIV/AIDS/Hep C concerns and Transgender patients,Free STD/Hepatitis C/HIV/AIDS/HCV Testing; fees on sliding scale (no one turned away); appointments recommended,412-322-4151,Practice with specialty in HIV positive and Transgender patients.  Leading the field in HIV prevention with PrEP.  Will help with signing up for insurance and other assistance.,"Mon, Thurs:  9am - 7pm; Tues, Wed:  9am - 5pm; Fri:  10am - 5pm (designated walk-in day)",
142,Central Outreach Resource & Referral Center (testing & support),Central Outreach - Hill District,Hill District,"1860 Centre Ave, #106, PA, 15219",40.443034,-79.980874,Central Outreach Wellness Center,health,those with STD/HepC/HIV concerns or with drug and alcohol issues,"none, everyone is welcome",412-471-9806,Center offers free STD/HepC/HIV testing and provides for drug and alcohol treatment referrals.  Also provides supportive and educational services.,Mon - Fri:  9am - 4pm,
143,County STD & HIV/AIDS Clinic - STD/Hepatitis C/HIV/AIDS testing,County Health Department - STD & HIV/AIDS,Hill District,"1908 Wylie Avenue, PA, 15219",40.4439745,-79.9820661,Allegheny County Health Department,health,all in need,"none, operates on walk-in basis",412-578-8081,"Staffed by nurses and public health assistants, the clinic provides free and confidential examinations and treatment.  Tests for syphilis, gonorrhea, chlamydia, HIV and HCV routinely done; other tests as indicated.  Lab inside building, so test results often same-day.","Mon, Tues, Thurs, Fri:  8:30am - 3:30pm; Wed:  12:30 - 7:30pm; Doors open 30 minutes ahead of time for registration only.",
144,County Pediatric Dental Clinic,County Pediatric Dental Program - Hill District,Hill District,"1835 Centre Ave, PA, 15219",40.443084,-79.981562,Allegheny County Health Department,health,all children and youth in need,"for children and youth 1 - 20 years of age, call ahead for an appointment",412-432-1620,"Free service for children and youth.  Services include examinations, cleanings, flouride treatments, x-rays, fillings, extractions and sealants.","Thurs, Fri:  8am - 4pm",
145,County Pediatric Dental Clinic,County Pediatric Dental Clinic - Mt. Oliver,Mt Oliver,"1630 Arlington Ave, PA, 15210",40.417425,-79.98751,Allegheny County Health Department,health,all children and youth in need,"for children and youth 1 - 20 years of age, call ahead for an appointment",412-432-1620,"Free service for children and youth.  Services include examinations, cleanings, flouride treatments, x-rays, fillings, extractions and sealants.",Mon - Fri: 8am - 4pm,
146,County Walk-in Immunization Clinic,County Immunizations Clinic,Downtown,"425 First Avenue, 4th Floor, PA, 15219",40.437083,-79.999528,Allegheny County Health Department,health,All in need,None,412-578-8062,"Adult Services: Provides a range of adult immunizations, including influenza and pneumococcal vaccines at the walk-in Clinic in downtown Pittsburgh. ; ; Childhood Immunizations: Federally funded and administered free of charge to eligible children. Additionally, Compliance with Allegheny County and Pennsylvania School Immunization Laws is assured through regular audits of school health records. Find CDC recommended Immunization Schedules external link.; ; WIC Certification: Screening for hemoglobin, weight and height are included for certification and re-certification for the Women, Infants and Children Program.; ; Travel Immunizations: Arranged for persons of all ages, as determined after appropriate travel advice meeting.; ; Screening Tests: Blood testing, to determine antibody levels for diseases such as hepatitis B, rubella and measles, is offered.",Mon - Tue: 9am - 4pm; Wed: 1pm - 8pm; Thu - Fri: 9am - 4pm,
147,Pediatric County Dental Clinic - McKeesport,County Pediatric Dental Clinic - McKeesport,McKeesport,"339 Fifth Avenue, PA, 15132",40.351186,-79.863514,Allegheny County Health Department,health,Children 20 and younger,20 and younger,412-664-8858,Free preventative and basic restorative dental care for children 1-20 years of age.,M-F; 8am - 4pm,
148,UPMC Matilda Theiss Health Center,UPMC Matilda Theiss Health Center,Hill District,"373 Burrows St, PA, 15213",40.442028,-79.970569,UPMC Matilda Theiss Health Center,health,all,just call ahead for an appointment; children without access to insurance also taken care of,412-383-1550,"Health Center is a primary care center, and includes obstetrics, gynecology, and pediatrics.  Pre-natal care (for pregnant women) offered.  Dental services available offsite, as well as some eye care services.",By Appointment,
149,Matilda Theiss Child Development Center (Free Diapers),UPMC Matilda Theiss Health Center,Hill District,"373 Burrows St, PA, 15213",40.442028,-79.970569,UPMC Matilda Theiss Health Center,pantries-supplies,all in need,"fill out a form (if you have Access or WIC card, they will make a copy; but these are not required)",412-383-1575,Diapers and wipes are offered to those in need for free.  Call first to make sure of availability.,call ahead,
150,VA Pittsburgh Healthcare System - Oakland,VA Pittsburgh Healthcare System - University Drive Campus,Oakland,"4100 Allequippa St, PA, 15261",40.446676,-79.960089,VA Pittsburgh Healthcare System,health,Vets,"must meet VA eligibility requirements - get help with that under \Daytime Roof\"" Vets Place or from \""Experts & Events\"" Veterans Leadership Program""",412-360-6993,"For full information on VA healthcare at Pittsburgh facilities, go to <a href=\http://www.pittsburgh.va.gov/patients/index.asp\"">www.pittsburgh.va.gov</a>. The phone number below is the Admissions line for local health care eligibility information.   Vets Place (under \""Daytime Roof\"") can provide transportation to medical appointments.  Free Shuttle Van (see \""Free Transportation\"" under \""Activities and Events\"") stops at the Oakland facility.""",Admissions:; Mon - Fri:  8am - 4:30pm,
151,IOTAS (It's OK to Ask Someone) Texting Line,IOTAS (It's OK to Ask Someone) - Text 412-424-6827 - Planned Parenthood,Downtown,"933 Liberty Avenue, PA, 15222",40.443318,-79.996729,Planned Parenthood of Western PA,health,"Young people with questions about sexuality, STDs, reproductive health, pregnancy, relationships",TEXT ONLY to 412-424-6827 - responds within 24 hours,,"Planned Parenthood text service for young people with questions about sexuality, STDs, pregnancy, relationships. Text questions to 412-424-6827, response will come within 24 hours.",,
152,Planned Parenthood - Family Planning Services,Pittsburgh Family Planning Center (PPWP),Downtown,"933 Liberty Avenue, PA, 15222",40.443375,-79.996643,Planned Parenthood of Western PA,health,All,MUST CALL FOR APPOINTMENT. All services are free for anyone under 18. No-cost and low-cost options available for those over 18 (nobody is turned away).,412-434-8971,"Offers a wide range of reproductive/sexual health services including gynecological care, birth control, pregnancy testing, options counseling, colposcopy and cryotherapy, pelvic and breast exams, and treatment for STI's. Can be connected to abortion services (412-562-1900 for direct line).  Pittsburgh, Moon and Bridgeville locations.",Hours to call (hours vary slightly for abortion services):; ; Tues - Wed: 8:45am - 3:30pm; Thur: 11:30am - 6:30pm (Family Planning Services only); Fri: 9:30am - 3:30pm; Sat: 8:45am - 3:30pm,
153,"Allies for Health + Wellbeing (Pgh AIDS Task Force) - STD/Hepatitis C/HIV/AIDS testing, PrEP Evaluation",Allies for Health & Well Being (Pgh Aids Task Force)- HIV/STI/Hepatitis C Testing/PrEP Evaluation - Pittsburgh Aids Task Force,East Liberty,"5913 Penn Avenue, PA, 15206",40.46198,-79.926207,Allies for Health & Well Being (new name for Pittsburgh Aids Task Force (PATF),health,All,Free and confidential testing 6 days/week.  All insurance accepted and no person turned away.,412-345-7456,"HIV-negative people may enroll in our PrEP for Wellness program to receive the once-daily pill that reduces the chance for HIV infection by over 90 percent. Allies provides an array of services for HIV-positive individuals including food pantry; HUD supportive housing; pharmacy program; and legal, emergency fund and transportation assistance.","Walk-in Testing Hours:; Mon, Tues, Thurs, Fri:  9am - 4:30pm; Wed: 9am - 6:30pm; Sun: 12pm - 3:30pm; ; Other clinic exams by appointment.",
154,Forbes Family Medicine Clinic,Forbes Family Medicine Clinic,Monroeville,"500 Mosside Blvd., Suite 500, PA, 15146",40.427214,-79.752444,Forbes Family Medicine Residency Program,health,All in need - people without insurance are welcome.  Also takes all insurance plans.,Call for appointment,412-457-1100,"Family-practice oriented - all ages.  Physicians available with specialized training for LGBTW, HIV/AIDS and Transgender.  MUST CALL AHEAD FOR AN APPPOINTMENT.",Mon: 8am - 7pm; Tue: 8am - 11am; Wed - Thu: 8am - 7pm; Fri: 8am - 4:30pm; Closed weekends,
155,"Sheep, Inc. Medical Clinic - Monroeville","Sheep, Inc. Medical Clinic/Monroeville",Monroeville,"4561 Old William Penn Highway, PA, 15146",40.442658,-79.753954,Monroeville Assembly of God,health,For those without medical insurance (all ages),Must be uninsured,412-310-0062,"Free walk-in clinic - must be UNINSURED.  Has doctors, physician assistants and nurses.  Limited pharmacy services.",Thu 5:45pm - 8:30pm,
156,"Sheep, Inc. Medical Clinic - Turtle Creek","Sheep, Inc. Medical Clinic - Turtle Creek",Turtle Creek,"305 McMasters Avenue, PA, 15145",40.406987,-79.828102,Monroeville Assembly of God,health,For those without medical insurance (all ages),Must be uninsured,412-310-0062,"First Saturday of the month ONLY.  Free walk in clinic - must be UNINSURED.  Has doctors, physician assistants and nurses. Limited pharmacy services.",ONLY FIRST SATURDAY OF THE MONTH ; 3pm - 5:30pm,
157,Lost and Found Pharmacy (Free Prescription Medications),Free Prescriptions,Penn Hills,"11555 Franstown Road, PA, 15235",40.464978,-79.829819,Lost and Found Pharmacy,health,All in need - call ahead for availability of medication,none,412-243-1369,Non-profit pharmacy.  Generic prescriptions distributed as funding allows.  Call ahead for availability of medication.,Mon - Sat; 8am - 6pm,
158,Free Dental Care Clinic - July 26-27,Free Dental Care Event,Uptown,"1001 Fifth Avenue, PA, 15282",40.440133,-79.990163,Mission of Mercy Pittsburgh,health,"All in need, including children 2 - 17 and adults (cannot treat pregnant women)","No requirements.  First come first served, arrive early.  Each patient eligible for one dental procedure per day (but you can return the second day for another). Child care NOT provided.",844-323-4325,"Free two day dental clinic for underserved and under-insured people living in Pittsburgh and the surrounding area.  Free shuttle on the hour from 6am to 6pm- see  at <a href=\http://www.mompgh.org/patient-info/\"" target=\""_blank”>www.mompgh.org</a>  for shuttle locations.  Services NOT provided:  full dentures, root canals on molars, crowns, extractions of unexposed wisdom teeth, orthodontics/braces, implants, impactions.""","Friday, July 26 & Saturday, July 27; 7am - 6pm; Doors open at 6am",
159,9th Street Clinic (Thursdays),9th Street Clinic,McKeesport,"410 Ninth Street, PA, 15132",40.347197,-79.862446,UPMC - Ninth Street Clinic,health,Adults 19-65,For the uninsured (they will check to see if prospective patients are qualified for medical assistance).,412-664-4304,"A walk-in primary care clinic for uninsured adults. First come, first served - new patients need to be checked in by 6 p.m.  HIV testing and councilor available on-site.",Thu: 1pm - 7pm,
160,CHS Oakland Food Pantry - Thurs/Fri,CHS Oakland Community Foodbank,South Oakland,"370 Lawn St, PA, 15213",40.433946,-79.961422,Community Human Services,pantries-supplies,all,"Photo ID not required and self-certify income (up to 150% of poverty line, which they do not verify) with signature. It is recommended to bring bags to carry food in, and some form of entertainment such as a book, as there can be long waits.",412-246-1686,Healthy food is distributed at this pantry; please do not use more than once per month.  Student nurses provide free health screening and referrals.  Cooking demos and nutrition classes offered. Also has free pet food through the Chow Wagon program.,Thurs:  3pm - 6pm; Fri:  11am - 2pm,
161,Produce to People - Homewood,Produce to People - Homewood,Homewood,"7430 Tioga Street, PA, 15208",40.452413,-79.8944305,Produce to People,pantries-supplies,all,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663 x727,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.","2nd Saturday of every Month:  10am - noon; EXCEPT December 2019 is first Saturday, 12/7/19",
162,Produce to People - North Side,Produce to People - North Side,North Side,"50 Montgomery PL, PA, 15212",40.454307,-80.00513,Produce to People,pantries-supplies,all,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663 x727,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.","3rd Saturday of the Month:  10am - noon; EXCEPT December 2019:  12/14/19, 10am - noon",
163,Produce to People - South Side,Produce to People - South Side,South Side,"2000 Mary Street, PA, 15203",40.425901,-79.977655,Produce to People,pantries-supplies,all,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663,"30 - 50 pounds of food to each family. 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.  (In Fall, location moves to the Market House, 1 Bedford Square.)","July 27 - November 23, 2019; 4th Saturday of each month; 10am - noon; DECEMBER 2019:  12/21/19, 10am - noon",
164,Isiah's Kitchen,Isiah's Kitchen,Garfield,"601 N Aiken Ave, PA, 15206",40.470828,-79.932677,Valley View Presbyterian Church,pantries-supplies,all,"state ID only, and fill out form and sign, no other papers required.",,Canned and boxed goods.,"First Saturday of the month:  9am - noon; (in case of bad snow, will be pushed to following Saturday)",
165,Homewood Brushton YMCA Food Pantry,Homewood Food Pantry,Homewood,"7140 Bennett St, PA, 15208",40.456764,-79.898148,Homewood-Brushton YMCA,pantries-supplies,all,"you will be asked for ID, no income or zip code requirement",,Canned and boxed goods.  Pet food also available.,2nd & 4th Tues of the month:  11am; (until everything is gone),
166,Welcome Little One,Welcome Little One,Downtown,"239 4th Ave STE 420, PA, 15222",40.439559,-80.001769,Welcome Little One,pantries-supplies,all in need,"for babies birth to one, no ID requirement, but fill out form",412-391-6862,"Diapers, baby clothes, baby food provided for free.  Cribs sometimes available.  Call for appointment.",call for appointment,
167,UPMC Family Care Connection - Lawrenceville,UPMC Family Care Connection,Lawrenceville,"5235 Butler Street, PA, 15201",40.481165,-79.95401,UPMC Family Care Connection - Lawrenceville,pantries-supplies,Birth - 5 years,Photo ID for emergency diapers,412-784-8683,"Call first.  Mostly for clients of the center, but can provide one-time emergency help. They don't always have all sizes of diapers.",Mon - Sun: 8:30am - 5pm,
168,Jewish Family and Children's Services - emergency diapers,Refugee/Immigrant Services,Squirrel Hill,"5743 Bartlett Street, PA, 15217",40.436261,-79.923848,Jewish Family & Community Services (JFCS),pantries-supplies,families,Photo ID for emergency diapers,412-422-7200,"Call first.  If you need services beyond one-time emergency help, an application needs to be completed.  Closed during all Federal and Jewish holidays.",,
169,Emergency Pantry,Greater Pittsburgh Community Food Bank,Duquesne,"1 North Linden Street, PA, 15110",40.375323,-79.841787,Greater Pittsburgh Community Food Bank,pantries-supplies,Emergency - but a person has to get to the food bank location,None,412-460-3663,"For emergencies.  The Greater Pittsburgh Community Food Bank supplies food pantries in the region, but maintain some food for emergency pickup at their location.","Normal business hours, Mon - Fri, 8am - 4:30 pm",
170,Produce to People - Duquesne,Greater Pittsburgh Community Food Bank,Duquesne,"1 North Linden Street, PA, 15110",40.375323,-79.841787,Greater Pittsburgh Community Food Bank,pantries-supplies,All in need,"fill out a form (attesting to meeting guidelines), no additional papers needed",,"1 North Linden Street, left of main entrance of Greater Pittsburgh Community Food Bank; 30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.",Second Thursday of each month; 5:30 - 7pm,
171,Produce to People - Sheraden,Produce to People - Sheraden,Sheraden,"2940 Sheraden Boulevard, PA, 15204",40.454647,-80.054092,Greater Pittsburgh Community Food Bank,pantries-supplies,all in need,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663 x727,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.","JULY 2019 only:  July 11, 5:30 - 7:00pm ; ; 1st Thursday of every month: 5:30pm - 7:00 pm",
172,Produce to People - Braddock,Produce to People - Braddock,Braddock,"845 Talbot Avenue, PA, 15104",40.399199,-79.86653,Greater Pittsburgh Community Food Bank,pantries-supplies,all in need,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663 x727,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.",10:00 am - noon ; First Saturday of every month,
173,Produce to People - McKeesport,Produce to People - McKeesport,McKeesport,"1960 Eden Park Blvd., PA, 15132",40.346297,-79.832591,Greater Pittsburgh Community Food Bank,pantries-supplies,all in need,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663 X 727,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.",3rd Saturday of every month: 10:00am - noon,
174,Produce to People - Natrona Heights,Produce to People - Natrona Heights,Natrona Heights,"1526 Union Avenue, PA, 15065",40.620916,-79.727317,Greater Pittsburgh Community Food Bank,meals-foodpantries,all,"fill out a form (attesting to meeting guidelines), no additional papers needed",724-226-0606 X 18,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.","Tuesday 7/16, 5:30pm - 7:00pm; Tuesday 8/13, 5:30pm - 7:00pm ; Tuesday 9/10/19, 5:30pm - 7:00pm ; Tuesday 10/8/19, 5:30 - 7:00pm",
175,Produce to People - Tarentum,Produce to People - Tarentum,Tarentum,"210 East 4th Avenue, PA, 15084",40.600638,-79.754364,Greater Pittsburgh Community Food Bank,meals-foodpantries,All,"fill out a form (attesting to meeting guidelines), no additional papers needed",724-226-0606 X 18,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.","Tuesday 11/12/19, 5:30pm - 7:00pm ; Tuesday 12/10/19, 5:30pm - 7:00pm",
176,Pitt Pantry (must have University of Pittsburgh ID),Pitt Pantry,Oakland,"4001 Fifth Avenue, PA, 15213",40.445593,-79.95318409999999,University of Ptitsburgh,pantries-supplies,ONLY for active Pitt Students and Staff with current ID,"Must have current University of Pittsburgh ID,  self-certify for low income, twice/month maximum",,"Small food pantry with box and canned goods, non-dairy beverages, some personal care products.",Wed: 5pm - 8pm; Thu: 1pm - 4pm; Fri: by appt.,
177,Squirrel Hill Food Pantry,Squirrel Hill Food Pantry,Squirrel Hill,"828 Hazelwood Avenue, PA, 15217",40.419608,-79.928181,Squirrel Hill Food Pantry,pantries-supplies,"All in need, Once/year, Kosher and Gluten Free food options","For residents of 15217 ZIP Code, but will give to ANYONE who needs Kosher food.",412-421-2708,"Emergency Food Pantry with Kosher (no ZIP code requirement) and gluten free options available. Frequently has fresh produce, hygiene products, and pet food.  Have 2 critical need social workers on staff","Mon: 9am - 12:30 pm, 5pm - 7pm; Tue: 9am - 12:30pm, 1:30pm - 3pm; Wed: 9am - 12:30pm ; Thu: 9am - 12:30pm, 1:30pm - 3pm; Fri: 9am - 12:30pm; Sunday by appointment",
178,Swissvale Food Pantry,Swissvale Food Pantry,Swissvale,"2011 Noble Street, PA, 15218",40.421586,-79.886278,Swissvale Food Pantry,pantries-supplies,"All in zip codes surrounding Swissvale:  15218, 15104, 15120, 15221","Photo ID for emergency food, rental agreement or utility bill for regular pantry.",412-452-2792,"Enter front doors.  Space is shared with a church, but pantry is separate.","First and 3rd Thursday of each month from 9:30 am - noon.  ; Additional emergency times available, but call ahead.",
179,Braddock Free Store,Braddock Free Store,Braddock,"420 Braddock Avenue, PA, 15104",40.404508,-79.870985,Braddock Free Store,pantries-supplies,All in need,None - no documentation required,201-532-1722,"Clothes, household items, some toiletries, baby clothing, formula and diapers - as available.  No furniture or electronics.",Tue: 11am - 1pm; Thu: 11am - 1pm; Sat: 10am - noon,
180,Cloverleaf Area Food Pantry,Cloverleaf Area Food Pantry,Baldwin,"1 Grove Place, PA, 15236",40.344612,-79.970726,Cloverleaf Area Ecumenical Assistance Program,pantries-supplies,"Residents within 2 miles of site - Pleasant Hills, Baldwin, Jefferson Boro, South Park, West Mifflin, Whitehall",For emergency - ID with address within two miles of cloverleaf.  Regular food bank requires proof of address and income.,412-207-1657 (Teléfono para el servicio),"Emergency Food for residents of Pleasant Hills, Baldwin, Jefferson Boro, South Park, West Mifflin, Whitehall",Tuesdays ; 9am - noon,
181,North Boroughs Food Pantry,North Boroughs Food Pantry,Bellevue,"100 South Jackson Ave., 2nd Floor, PA, 15202",40.495473,-80.060197,North Hills Community Outreach,pantries-supplies,All in need,Emergency food one time only. Must call ahead.,412-487-6316,"Emergency pantry items will be provided one time only (for regular pantry, you must meet income and zip code requirements - 150% of Federal Poverty Guidelines). Serves area code 15202.",Mon - Fri: 9am - 4pm are main hours.,
182,Loaves and Fishes Food Pantry,Loaves and Fishes Food Pantry (NHCO),McCandless,"1975 Ferguson Road, PA, 15101",40.56375,-79.9888,North Hills Community Outreach,meals-foodpantries,All in need,Emergency food one time only. Must call ahead.,412-487-6316,"Must call ahead. Emergency pantry items will be provided one time only (for regular pantry, you must meet income and zip code requirements - 150% of Federal Poverty Guidelines). Serves Hampton, McCandless, Ross, Lower Richland and Upper Shaler.",Mon - Fri: 9am - 4pm are main hours.,
183,Emergency Food Pantry - Prospect Park/Whitehall,Emergency Food Pantry - Prospect Park/Whitehall,Prospect Park/Whitehall,"1450 Maple Drive #B, PA, 15227",40.36537,-79.965477,SHIM - South Hills Interfaith Movement,pantries-supplies,"Residents of Baldwin-Whitehall, South Park, Bethel Park, Keystone Oaks, Mt. Lebanon and Upper St. Clair School Districts.",Call first,412-892-4673,"Call first, then come during regular pantry hours: 1st and 3rd Wednesdays of each month, from 10am to 1pm and 3pm to 5pm.  Food and produce in season.  Often has toilet paper, soap, other toiletries.","1st and 3rd Wednesdays of each month; 10am - 1pm and 3pm - 5pm; (May change during the holidays, call to confirm schedule)",
184,Emergency Food Pantry - Bethel Park,Emergency Food Pantry - Bethel Park,Bethel Park,"5301 Park Avenue, PA, 15102",40.328463,-80.028404,SHIM - South Hills Interfaith Movement,pantries-supplies,"Residents of Baldwin-Whitehall, South Park, Bethel Park, Keystone Oaks, Mt. Lebanon and Upper St. Clair School Districts.",Call first,412-854-9120,"Call first, then come during regular pantry hours: 2nd and 4th Thursdays of each month from 10am to 4pm and 2nd and 4th Fridays from 2pm to 6pm. Food and produce in season (some gluten free foods also available).  Often has toilet paper, soap, other toiletries.","2nd and 4th Thurs: 10am - 2pm; 2nd and 4th Fri: 2pm - 6pm; (may change during holidays, call to confirm schedule)",
185,Emergency Food Pantry - Baldwin,Emergency Food Pantry - Baldwin,Baldwin,"201 Knoedler Rd, PA, 15236",40.341987,-79.982515,SHIM - South Hills Interfaith Movement,pantries-supplies,"Residents of Baldwin-Whitehall, South Park, Bethel Park, Keystone Oaks, Mt. Lebanon and Upper St. Clair School Districts.",Call first,412-854-9120,"Call first, then come during regular pantry hours: 2nd and 4th Tuesdays of each month from 10am - 1pm and 3pm - 5pm.  Food and produce in season.  Often has toilet paper, soap, other toiletries.","2nd and 4th Tuesdays of each month: 10am - 1pm, 3pm - 5pm; (may change during holidays, call to confirm schedule)",
186,SHIM - Community Clothing Closet,SHIM - Community Clothing Closet,Bethel Park,"5301 Park Avenue, PA, 15102",40.32847,-80.028391,SHIM - South Hills Interfaith Movement,pantries-supplies,All in need,None,412-854-9120,"Selection of clothes for infants, children and adults.  No appointment required.",Mon: 10am - 1pm ; Tue: 1pm - 4pm,
187,Emergency Food Pantry - Natrona Heights,AVAC - Emergency Food Pantry,Natrona Heights,"1913 Freeport Road, PA, 15065",40.625836,-79.722926,Allegheny Valley Association of Churches/AVAC Interfaith Hospitality Network,pantries-supplies,All in need living in service area,"Must prove residence in zip code 15065, 15084, 15030, 15014 or 15068",724-226-0606,"Call for appointment, Mon through Fri, 9:00am - 5:00pm.  Canned and box goods, toiletries and sometimes pet food.",Mon through Fri; 9:00am - 5:00pm,Closed during date: 2017/11/23; Closed during date: 2017/11/24; 
188,Free Store Wilkinsburg,Free Store Wilkinsburg,Wilkinsburg,"619 Penn Avenue, PA, 15221",40.443924,-79.884871,Free Store Wilkinsburg,pantries-supplies,All in need,none - no documentation required,412-436-9836,"Clothes, household items, some toiletries, baby clothing, formula and diapers - as available.  No furniture or electronics.",Sat 11am - 2pm,
189,Crossroads Church East Liberty Free Store,Crossroads Church East Liberty Free Store,East Liberty,"325 N Highland Avenue (across from Home Depot and Vento's Pizza), PA, 15206",40.46446,-79.923735,Crossroads Church,pantries-supplies,all,none,412-867-7950,"clothing, clothing for job interviews, baby and children's clothing and supplies, household items, furniture.; ; Call to schedule an appointment outside of regular hours.",2nd and 4th Saturdays 10am - 1pm,
